Please select your role below:,Do you currently or have you ever worked in a remote role?,If given the choice which work environment do you prefer?,Describe your reasons for your selection above:,How likely are you to select a job based on the work environment?,I am more productive when I work outside of the office,I am more productive when I work from the office,I am able to maintain strong relationships with my supervisors and coworkers when working remotely,I struggle to maintain relationships with my supervisors and coworkers when working remotely,I am able to achieve a better work/life balance by working remotely,Working remotely has negatively impacted my work/life balance,I am able to maintain a high level of engagement within my organization while working remotely,As a remote worker I feel less engaged with the organizational culture of my company,While working remotely I have received opportunities to grow my career through promotions or role enlargement,Working remotely has hindered opportunities for growth (ie promotions role enlargement) within my organization,Averaged Positive Responses:,Averaged Negative Responses:
Employee,Yes,Hybrid Model,Flexibility but also having work separate from home,5,4,4,5,2,5,2,5,4,2,4,4.2,3.2
Employee,Yes,Hybrid Model,"I believe there is a lot of value to collaboration, teamwork, and connecting with humans in person. With that being said, I also believe there’s a point where my productivity is hindered and being by myself supports my ability to accomplish tasks and improves my overall mental wellness.  ",4,5,2,2,4,4,2,3,4,3,3,3.4,3
Employee,Yes,Hybrid Model,It would be nice to have a choice. I like to be around people however it would be nice to work from home as well ,4,2,4,5,1,4,1,3,4,3,3,3.4,2.6
Employee,No,Hybrid Model,Gives a family work balance,5,4,4,5,2,4,2,5,2,5,2,4.6,2.4
Employee,Yes,Fully Remote,I prefer working from home. Allows me to do more personal and private work!,5,4,3,4,1,4,1,4,2,4,1,4,1.6
Employee,Yes,Fully Remote,More flexibility ,5,5,4,5,2,5,3,5,3,3,1,4.6,2.6
Employee,Yes,Fully On-Site,Remote work can fail to provide multiple methods of learning styles,4,2,4,2,4,5,3,4,5,2,4,3,4
Employee,Yes,Fully Remote,"Saves time, money & lower stress levels. Less wear and tear on vehicle. ",5,5,2,4,1,5,1,5,4,3,5,4.4,2.6
Employee,Yes,Hybrid Model,I enjoy working with others and perfer doing hands-on work but I want to have the option to work virtually ,5,2,5,2,4,5,2,4,2,2,2,3,3
Employee,No,Fully Remote,flexible schedule,4,4,2,4,2,5,2,5,2,4,2,4.4,2
Employee,Yes,Fully Remote,Flexability ,4,5,2,5,1,5,1,5,1,3,3,4.6,1.6
Employee,Yes,Hybrid Model,"Cut down on commute, yet occasionally still have in-person interactions with team. ",3,4,2,4,2,4,2,4,2,4,2,4,2
Employee,No,Hybrid Model,More flexibility with schedule but still maintaining a level of structure ,5,3,4,3,3,3,3,3,3,3,3,3,3.2
Employee,Yes,Hybrid Model,Having the ability to flex between on-site and remote work allows me to better support the needs of my family while optimizing my productivity. ,5,4,3,2,4,4,1,4,3,1,4,3,3
Employee,Yes,Fully Remote,I prefer fully remote because I feel that it allows me to work to my best potential and have a better work life balance.,5,5,1,4,1,5,1,2,2,5,4,4.2,1.8
